"Relative Time","Add_to_Cart_Transaction","Buy_Item_Transaction","Home_page_Transaction","Login_Transaction","Logout_Transaction","vuser_end_Transaction","vuser_init_Transaction"
"00:00","","","","","","","0"
"00:01","","","1.417","","","",""
"00:02","","","1.547","","","",""
"00:03","","","3.398","","","",""
"00:07","","0.352","","","","",""
"00:09","","0.27","","","","",""
"00:14","0.433","","","","","",""
"00:15","0.456","","","0.578","0.29","0",""
"00:16","0.711","","","","","",""
"00:19","","","","2.109","0.537","0",""
